Order Number at CW;Article Number;Order Line Number;Material;Material;Route;Route;Route Serial Number;Timestamp for Picking;Box number;Area;Station;Number of lots-white;Number of lots-Green;No. of picks;Quantity
150392;7524700452;14;1000075060;LS PLAST 1NC1NO SA ROL XCKP2118P16;9J;9J;Not assigned;11:13:42;200007361;28;23;0;12;1;2
150392;8212007068;17;1000041215;COVER EK EKJ30-G;9J;9J;Not assigned;11:13:42;200007361;28;23;0;12;1;20
150392;8212008203;19;1000484377;COVER SCREW CS10256;9J;9J;Not assigned;11:13:42;200007361;28;23;0;12;1;80
150394;2663001868;2;1000644293;SITOP MODULAR 24 V/5 A;7J;7J;26;11:00:03;200069242;28;16;0;2;1;1
150394;2686211059;1;1000414562;P200 PRESSURE TRANSDUCER 10 BAR;7J;7J;26;11:00:03;200069242;28;16;0;2;1;1
150395;2663001868;2;1000644293;SITOP MODULAR 24 V/5 A;7J;7J;26;11:00:29;200020238;28;16;0;2;1;1
150395;2686211059;1;1000414562;P200 PRESSURE TRANSDUCER 10 BAR;7J;7J;26;11:00:29;200020238;28;16;0;2;1;1
150396;2619711571;22;1000410858;N-/PE-TERMINAL CONTINUOUS UP TO 32A 3LD2;9L;9L;Not assigned;14:20:09;200052181;28;23;1;9;1;2
150396;2622770431;5;1000083435;CONNECTING MODULE, S00-S0;9L;9L;Not assigned;14:20:09;200052181;29;23;1;9;1;8
150396;2622777816;3;1000025767;3-PHASE BUSBARS MODULAR FOR 4 BREAKERS;9L;9L;Not assigned;14:20:09;200052181;29;23;1;9;1;2
150396;2622812768;4;1000097929;CIRCUIT-BREAKER SCREW 0.8A3RV2011-0HA10;9L;9L;Not assigned;14:20:09;200052181;28;23;1;9;1;8
150396;2622814148;7;1000097679;CONT,AC3.3KW 1NC DC24V 3RT2015-1BB42;9L;9L;Not assigned;14:20:09;200052181;28;23;1;9;1;8
150396;2622814504;8;1000097689;CONT,AC3.4KW 1NC DC24V 3RT2016-1BB42;9L;9L;Not assigned;14:20:09;200052181;27;23;1;9;1;4
150396;2622815273;6;1000097941;TRANSVERSE AUX. SWITCH 1CO;9L;9L;Not assigned;14:20:09;200052181;29;23;1;9;1;8
150396;2622830782;9;1000099035;SURGE.SUPP W/DIODE 12-250VAC;9L;9L;Not assigned;14:20:09;200052181;29;23;1;9;1;12
150396;2622832007;10;1000097788;AUX. SWITCH BLOCK, 2NO+2NC 3RH2911-1HA22;9L;9L;Not assigned;14:20:09;200052181;29;23;1;9;1;4
150396;2686037848;2;1000347871;SM 1223 16DI/16DO DC 24V 0.5A;9L;9L;Not assigned;14:20:09;200052181;28;23;1;9;1;2
150396;2686038232;1;1000413974;S7-1200 1212 8DI/6DOT/2AI 24DC;9L;9L;Not assigned;14:20:09;200052181;27;23;1;9;1;2
150396;7512404029;13;1000089060;Filterfan 38m3/h 24V DC IP54;9L;9L;Not assigned;14:20:09;200052181;27;23;1;9;1;2
150396;7512404362;14;1000088970;OUTLET GRID CUT-OUT 92X92MM;9L;9L;Not assigned;14:20:09;200052181;27;23;1;9;1;2
150396;7517804488;19;1000074644;PB HEAD RED ZB4BL4;9L;9L;Not assigned;14:20:09;200052181;29;23;1;9;1;2
150396;7517805034;18;1000059182;24 V LED PILOT LIGHT BODY ZB4BVB1;9L;9L;Not assigned;14:20:09;200052181;29;23;1;9;1;2
150396;7517807249;20;1000054914;ILLUMINATED PB HE ZB4BW313;9L;9L;Not assigned;14:20:09;200052181;29;23;1;9;1;2
150396;7517807812;15;1000003516;XB4B FIXING BASE;9L;9L;Not assigned;14:20:09;200052181;25;23;1;9;1;4
150396;7517807838;16;1000003989;CONTACT ELEMENT 1NC ZBE102;9L;9L;Not assigned;14:20:09;200052181;25;23;1;9;1;6
150396;7517808303;17;1000072385;CONTACT ELEMENT 2NC ZBE204;9L;9L;Not assigned;14:20:09;200052181;29;23;1;9;1;2
150396;7517809001;21;1000060578;E. STOP LEGEND PLATE ZBY9101;9L;9L;Not assigned;14:20:09;200052181;29;23;1;9;1;2
150398;886110907;1;1200005268;PATCH CORD CAT5E F/UTP LSZH 3,0M GREY;9J;9J;Not assigned;10:51:45;200059091;28;23;0;1;1;20
150399;2322022049;2;1000408166;CI12 CONTACTOR 12A 4P 24V 50/60HZ;1Y;1Y;Not assigned;11:07:03;200019966;29;10;0;5;1;7
150399;2324503375;3;1000408890;SPARE PART ARMATURE;1Y;1Y;Not assigned;11:07:03;200019966;27;10;0;5;1;200
150399;2324503579;4;1000408907;BA220B COIL 9 W FOR 13,5MM ANKER;1Y;1Y;Not assigned;10:40:03;200018419;28;10;0;5;1;50
150399;2324503579;5;1000408907;BA220B COIL 9 W FOR 13,5MM ANKER;1Y;1Y;Not assigned;10:47:20;200000687;28;10;0;5;1;50
150399;2324503579;6;1000408907;BA220B COIL 9 W FOR 13,5MM ANKER;1Y;1Y;Not assigned;10:42:19;200024083;28;10;0;5;1;50
150399;2324503579;7;1000408907;BA220B COIL 9 W FOR 13,5MM ANKER;1Y;1Y;Not assigned;10:38:42;200018483;28;10;0;5;1;50
150399;7912290655;1;1000478093;BOX AS ALUMINIUM 100X100X80MM;1Y;1Y;Not assigned;11:07:03;200019966;27;10;0;5;1;1
150400;5413560970;1;1000426319;GLAND 501/453 UNIV. M20/OS;9H;9H;Not assigned;10:41:58;200025708;28;23;0;1;1;20
150402;2686037563;9;1000320860;S7-1200 COMMUNICATION BOARD CB1241 RS485;5E;5E;48;13:46:18;200051408;29;16;0;14;1;5
150402;2686038180;8;1000413969;S7-1200 1211 6DI/4DOR/2AI 24DC;5E;5E;48;13:46:18;200051408;28;16;0;14;1;5
150402;2686210759;7;1000602283;SIMATIC KTP400 BASIC, BASIC PANEL;5E;5E;48;13:46:18;200051408;28;16;0;14;1;5
150402;5417238321;4;1000227667;LOAD SWITCH 194E-A25-1753;5E;5E;48;13:46:18;200051408;29;16;0;14;1;5
150402;5417238334;3;1000227668;LOAD SWITCH 194E-A32-1753;5E;5E;48;13:46:18;200051408;29;16;0;14;1;5
150402;5417238347;2;1000227669;LOAD SWITCH 194E-A40-1753;5E;5E;48;13:46:18;200051408;29;16;0;14;1;5
150402;5417238350;1;1000227731;LOAD SWITCH 194E-A63-1753;5E;5E;48;13:46:18;200051408;29;16;0;14;1;5
150402;5417240050;6;1000227672;LOAD SWITCH HANDLE 194L-HE6G-175;5E;5E;48;13:46:18;200051408;28;16;0;14;1;10
150402;5417252064;5;1000227700;LOAD SWITCH OPERATING EXT 194L-G3394;5E;5E;48;13:46:18;200051408;28;16;0;14;1;10
150402;5439609080;11;1000096940;CHIPB.SCREW PANH T20 4,0X50ELZ;5E;5E;48;12:33:20;200090226;27;16;0;14;1;200
150402;7613024476;15;1000079127;REDUCTION EXT.M40-INT.M32 LIGHT GREY;5E;5E;48;11:12:03;200004509;28;16;0;14;1;50
150402;821101528;12;1000043614;ENDTERMINAL YELLOW 6.0MM/12.0;5E;5E;48;13:46:18;200051408;28;16;0;14;1;200
150402;821102763;14;1000389706;RING TERMINAL BLUE 1.0-2.5 M8;5E;5E;48;12:33:20;200090226;29;16;0;14;1;200
150402;839125088;10;1000054880;SCREW M3X20 DIN 7985 PH PH1 ZP;5E;5E;48;13:46:18;200051408;27;16;0;14;1;500
150402;921099844;13;1000392918;ENDTERMINAL TWIN GREY 2X4/12;5E;5E;48;13:46:18;200051408;29;16;0;14;1;100
150403;7936017474;1;1000480203;TRUNKING CONSOLE VB 170;9D;9D;Not assigned;11:21:04;200074753;27;23;0;6;1;50
150403;7936017474;2;1000480203;TRUNKING CONSOLE VB 170;9D;9D;Not assigned;12:20:40;200016388;27;23;0;6;1;50
150403;7936017474;3;1000480203;TRUNKING CONSOLE VB 170;9D;9D;Not assigned;11:45:38;200025471;27;23;0;6;1;50
150403;7936017474;4;1000480203;TRUNKING CONSOLE VB 170;9D;9D;Not assigned;11:20:27;200050600;27;23;0;6;1;18
